1702274016.4728162, 12471
1702274016.5729964, 12413
1702274016.6730487, 12432
1702274016.7730882, 12366
1702274016.8731267, 12410
1702274016.973166, 12469
1702274017.0732007, 12411
1702274017.1732492, 12236
1702274017.27329, 12450
1702274017.37333, 12301
1702274017.4733732, 12264
1702274017.5734105, 12353
1702274017.6734455, 12444
1702274017.7734954, 12395
1702274017.8735347, 12318
1702274017.9735746, 12274
1702274018.073616, 12249
1702274018.1736517, 12386
1702274018.2736845, 12361
1702274018.3737202, 12368
1702274018.473757, 12352
1702274018.5737944, 12389
1702274018.6738622, 12377
1702274018.7739022, 12436
1702274018.8739395, 12344
1702274018.9739816, 12427
1702274019.074017, 12466
1702274019.1740575, 12415
1702274019.274098, 12475
1702274019.3741424, 12321
1702274019.4741948, 12430
1702274019.5742345, 12490
1702274019.6742737, 12408
1702274019.7743156, 12461
1702274019.8743556, 12458
1702274019.9743953, 12425
1702274020.0744371, 12455
1702274020.174473, 12428
1702274020.2745135, 12263
1702274020.3745527, 12221
1702274020.4745917, 12209
1702274020.5746257, 12333
1702274020.6746666, 12425
1702274020.7746975, 12376
1702274020.8747296, 12365
1702274020.974764, 12232
1702274021.074806, 12235
1702274021.1786318, 12406
1702274021.2786827, 12503
1702274021.378719, 12447
1702274021.4787636, 12466
1702274021.578804, 12342
1702274021.6788435, 12492
1702274021.778878, 12289
1702274021.8789175, 12305
1702274021.9789593, 12315
1702274022.079002, 12336
1702274022.179041, 12429
1702274022.2790732, 12200
1702274022.379111, 12448
1702274022.4791477, 12403
1702274022.579188, 12403
1702274022.6792235, 12440
1702274022.7792635, 12287
1702274022.8792946, 12269
1702274022.9793308, 12237
1702274023.0793636, 12224
1702274023.179401, 12319
1702274023.2794323, 12254
1702274023.3794732, 12310
1702274023.4795082, 12298
1702274023.5795383, 12396
1702274023.6795816, 12274
1702274023.7796147, 12358
1702274023.879644, 12429
1702274023.9796743, 12402
1702274024.079705, 12357
1702274024.1797466, 12263
1702274024.2797823, 12282
1702274024.3798132, 12259
1702274024.479851, 12294
1702274024.5798888, 12227
1702274024.67992, 12244
1702274024.7799602, 12323
1702274024.8799894, 12305
1702274024.980019, 12334
1702274025.0800543, 12310
1702274025.1800923, 12286
1702274025.2801256, 12283
1702274025.380159, 12314
1702274025.480188, 12271
1702274025.580225, 12248
1702274025.680262, 12220
1702274025.7803009, 12235
1702274025.8803349, 12247
1702274025.9803686, 12375
1702274026.0804007, 12371
1702274026.1804392, 12394
1702274026.280485, 12324
1702274026.3805184, 12374
1702274026.4805536, 12343
1702274026.58059, 12353
1702274026.680625, 12318
1702274026.780661, 12301
1702274026.880694, 12426
1702274026.9807315, 12276
1702274027.0807672, 12224
1702274027.1808128, 12264
1702274027.280851, 12329
1702274027.3808928, 12368
1702274027.480926, 12280
1702274027.580965, 12325
1702274027.6810033, 12174
1702274027.7810419, 12145
1702274027.8810792, 12226
1702274027.9811106, 12358
1702274028.081147, 12331
1702274028.1811833, 12302
1702274028.2812195, 12221
1702274028.3812556, 12252
1702274028.4812913, 12368
1702274028.581331, 12280
1702274028.6813633, 12203
1702274028.7814088, 12390
1702274028.8814378, 12320
1702274028.9814684, 12384
1702274029.0815017, 12325
1702274029.1815312, 12352
1702274029.2815669, 12376
1702274029.3815966, 12429
1702274029.481625, 12395
1702274029.5816529, 12258
1702274029.6816936, 12276
1702274029.7817311, 12299
1702274029.8818111, 12173
1702274029.981897, 12225
1702274030.0819712, 12208
1702274030.1820533, 12354
1702274030.2821472, 12413
1702274030.382224, 12434
1702274030.4822998, 12302
1702274030.582379, 12398
1702274030.6824622, 12391
1702274030.7825487, 12442
1702274030.8826268, 12366
1702274030.982701, 12393
1702274031.0827782, 12391
1702274031.1828582, 12316
1702274031.2829535, 12455
1702274031.3830469, 12479
1702274031.483124, 12347
1702274031.5832136, 12443
1702274031.6832893, 12410
1702274031.7833645, 12448
1702274031.8834486, 12471
1702274031.983528, 12402
1702274032.0836148, 12414
1702274032.1836984, 12370
1702274032.2837884, 12386
1702274032.38387, 12540
1702274032.4839358, 12480
1702274032.5840087, 12387
1702274032.6840868, 12317
1702274032.7841733, 12469
1702274032.8842545, 12463
1702274032.9842868, 12439
1702274033.0843153, 12447
1702274033.1843462, 12443
1702274033.284396, 12464
1702274033.3844295, 12581
1702274033.4844596, 12500
1702274033.584487, 12465
1702274033.68452, 12390
1702274033.7845547, 12404
1702274033.8845882, 12370
1702274033.9846218, 12409
1702274034.084657, 12278
1702274034.184701, 12324
1702274034.284738, 12443
1702274034.384775, 12429
1702274034.4848073, 12402
1702274034.5848415, 12406
1702274034.6848776, 12394
1702274034.784937, 12383
1702274034.8849742, 12363
1702274034.9850132, 12314
1702274035.0850487, 12275
1702274035.1850839, 12292
1702274035.2851176, 12375
1702274035.3851562, 12314
1702274035.4851902, 12309
1702274035.5852234, 12299
1702274035.6852658, 12219
1702274035.7853086, 12303
1702274035.885343, 12230
1702274035.9853845, 12344
1702274036.0854216, 12248
1702274036.1854563, 12224
1702274036.2854974, 12158
1702274036.38554, 12228
1702274036.4855804, 12325
1702274036.5856297, 12298
1702274036.6857123, 12216
1702274036.7857645, 12274
1702274036.8858082, 12264
1702274036.9858418, 12312
1702274037.0858724, 12247
1702274037.185914, 12306
1702274037.2859437, 12180
1702274037.3859818, 12310
1702274037.486017, 12285
1702274037.5860512, 12275
1702274037.6860867, 12300
1702274037.78612, 12191
1702274037.8861606, 12242
1702274037.9861975, 12251
1702274038.0862331, 12314
1702274038.1862695, 12385
1702274038.2863045, 12274
